id,requirement,requirement_title,question_text,expected_testing,source_page,applicability_tags
1.1,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Are firewall and router configuration standards established and implemented to include the following:,,10,
1.1.1,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Is there a formal process for approving and testing all network connections and changes to the firewall and router configurations? • Review documented process • Interview personnel • Examine network configurations,,10,
1.1.2(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Is there a current network diagram that documents all connections between the cardholder data environment and other networks, including any wireless networks? • Review current network diagram • Examine network configurations (b) Is there a process to ensure the diagram is kept current? • Interview responsible personnel",,10,wireless
1.1.3(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Is there a current diagram that shows all cardholder data flows across systems and networks? • Review current dataflow diagram • Examine network configurations . (b) Is there a process to ensure the diagram is kept current? • Interview personnel,,10,
1.1.4(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Is a firewall required and implemented at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone? • Review firewall configuration standards • Observe network configurations to verify that a firewall (s) is in place,,10,
1.1.5,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Are groups, roles, and responsibilities for logical management of network components assigned and documented in the firewall and router configuration standards? • Review firewall and router configuration standards • Interview personnel",,11,
1.1.6(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Do firewall and router configuration standards include a documented list of services, protocols, and ports, including business justification (for example, hypertext transfer protocol (HTTP), Secure Sockets Layer (SSL), Secure Shell (SSH), and Virtual Private Network (VPN) protocols) ? • Review firewall and router configuration standards (b) Are all insecure services, protocols, and ports identified, and are security features documented and implemented for each identified service? Note: Examples of insecure services, protocols, or ports include but are not limited to FTP, Telnet, POP3, IMAP, and SNMP. • Review firewall and router configuration standards • Examine firewall and router configurations",,11,crypto_transport
1.1.7(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Do firewall and router configuration standards require review of firewall and router rule sets at least every six months? • Review firewall and router configuration standards (b) Are firewall and router rule sets reviewed at least every six months? • Examine documentation from firewall reviews,,11,
1.2,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Do firewall and router configurations restrict connections between untrusted networks and any system in the cardholder data environment as follows: Note: An “untrusted network” is any network that is external to the networks belonging to the entity under review, and/or which is out of the entity’s ability to control or manage.",,11,
1.2.1(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Is inbound and outbound traffic restricted to that which is necessary for the cardholder data environment? • Review firewall and router configuration standards • Examine firewall and router configurations (b) Is all other inbound and outbound traffic specifically denied (for example by using an explicit “deny all” or an implicit deny after allow statement)? • Review firewall and router configuration standards • Examine firewall and router configurations,,12,
1.2.2,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Are router configuration files secured from unauthorized access and synchronized —for example, the running (or active) configuration matches the start -up configuration (used when machines are booted)? • Review firewall and router configuration standards • Examine router configuration files and router configurations",,12,
